constParams1.beta deg,globalForce1.F N,time s,revoluteJoint3.phiRel rad,prismaticJoint1.xRel m
10.0,90,1.82899999999991,1.57053744028591,0.970374377987422
10.5,90,1.70799999999992,1.5708492126624,0.754976254284758
11.0,90,1.62299999999993,1.57092292608759,0.614469204337668
11.5,90,1.55799999999994,1.57235116149925,0.513623098975241
12.0,90,1.50399999999995,1.56914889165297,0.433748325726966
10.0,90.25,1.83699999999991,1.57183407625883,0.99061443603883
10.5,90.25,1.71299999999992,1.57078432972852,0.768035246115007
11.0,90.25,1.62699999999993,1.57175217247467,0.625058937316009
11.5,90.25,1.56099999999994,1.57240678707295,0.521983107990866
12.0,90.25,1.50699999999994,1.57094466192946,0.441865522539252
10.0,90.5,1.84499999999991,1.57241868051461,1.01082363938861
10.5,90.5,1.71799999999992,1.57043095212813,0.781148444554231
11.0,90.5,1.63099999999993,1.57247718849944,0.635722403035112
11.5,90.5,1.56399999999994,1.57237209133475,0.530355307837929
12.0,90.5,1.50899999999994,1.56926596396305,0.448104290086847
10.0,90.75,1.85299999999991,1.57232166515697,1.03113963723586
10.5,90.75,1.72299999999992,1.56973719565583,0.794312739206164
11.0,90.75,1.63399999999993,1.56962687783897,0.64436662728212
11.5,90.75,1.56699999999994,1.57223072338108,0.538751171201343
12.0,90.75,1.51199999999994,1.57091340302884,0.456267416821262
10.0,91,1.86099999999991,1.5714656333556,1.05150440175603
10.5,91,1.72899999999992,1.57216976935792,0.809637169299342
11.0,91,1.63799999999993,1.57000506558198,0.655079718748052
11.5,91,1.56999999999994,1.57198107349565,0.547171011149922
12.0,91,1.51499999999994,1.57250777386947,0.464494081649268
10.0,91.25,1.8689999999999,1.57007854355576,1.07197091699121
10.5,91.25,1.73399999999992,1.5708551734224,0.822875751333535
11.0,91.25,1.64199999999993,1.57027146387186,0.66583833541399
11.5,91.25,1.57299999999994,1.5716201587329,0.555614381306404
12.0,91.25,1.51699999999994,1.57058640025134,0.470749764728367
10.0,91.5,1.8779999999999,1.57096067991612,1.09477521847569
10.5,91.5,1.73899999999992,1.56921344575696,0.836175326780599
11.0,91.5,1.64599999999993,1.57029827628437,0.676631365960497
11.5,91.5,1.57599999999994,1.57114639522371,0.564080357369578
12.0,91.5,1.51999999999994,1.57202198453395,0.479010940495319
10.0,91.75,1.8869999999999,1.57097082676404,1.11771390616548
10.5,91.75,1.74499999999992,1.57060434453086,0.851677404083719
11.0,91.75,1.64999999999993,1.57013974402809,0.687460070446566
11.5,91.75,1.57899999999994,1.57056027077264,0.572575458233819
12.0,91.75,1.52199999999994,1.56996201580312,0.485326997579162
10.0,92,1.8959999999999,1.5699469949422,1.14083526099385
10.5,92,1.75099999999992,1.57164498520645,0.867253921468822
11.0,92,1.65399999999993,1.56977747400738,0.698369305555033
11.5,92,1.58199999999994,1.56986360467306,0.581106890321778
12.0,92,1.52499999999994,1.57122307206283,0.493603900185215
10.0,92.25,1.9059999999999,1.57136850968964,1.16626623061201
10.5,92.25,1.75699999999992,1.57229098466449,0.882893858610235
11.0,92.25,1.65799999999993,1.56921019367477,0.7092841404483
11.5,92.25,1.58599999999994,1.57245965768615,0.591708459306976
12.0,92.25,1.52799999999994,1.57242348096596,0.501956175841294
10.0,92.5,1.9159999999999,1.57173003282893,1.19184032387075
